source,target
11223,"19934, 11191, 11169, 20514, 20001, 20504, 20509"
11224,"11164, 23044, 19800, 11176, 11013"
11225,22204
11226,"19924, 11016, 11281, 11283, 11700, 11269, 11601, 11019, 11267, 11289, 10664"
11227,"20001, 20167, 20366, 20706, 20318, 20157, 20328, 20331, 20201, 20553, 20308, 20306, 20202"
11228,"11071, 20020, 20561, 20021"
11229,"11449, 11245, 20001, 20169, 11169, 20026"
11230,"20150, 20347, 20005, 20318, 20120"
11231,"11065, 11015, 11201, 11875, 10616, 11107, 22039, 11340, 20001, 11537, 11230, 20026"
11232,"11210, 11536, 11894, 11222, 11013, 11186"
11233,"11065, 11201, 11172, 11541, 11107, 22047, 20001, 19177, 11272"
11234,"11062, 20150, 20001, 20167, 20023, 20165, 20374, 20629, 20167, 20505, 26010, 20626, 20005, 20157"
11235,"11679, 20001, 20508, 20160, 20155, 20012, 20005, 20167"
11236,"31066, 31134, 11235, 20001, 11841, 20377, 11107, 20177, 11230, 20023"
11237,"11164, 11168, 11427, 11442, 11151, 11150, 19235, 11234"
11238,"12260, 11062, 11414, 17107"
11239,"11104, 11214, 20704, 11081, 11013, 11062, 10622, 11234, 11169, 20156, 20152"
11240,"11015, 20020, 20012, 20005, 20674, 11070"
11241,"11062, 20020, 20012, 20005, 20023, 11070, 20377, 20001, 11107, 11311"
11242,"20012, 20005, 20001, 11001, 20115, 10898, 20532"
11243,"20012, 24098, 20025, 30212, 20029, 20032, 20031, 20733, 20340, 20202, 20241"
11244,"23006, 20229, 20190, 20025, 20121, 20032, 20443, 20241"
11245,"20001, 11070, 20005, 20297, 20354, 10636"
11246,"11331, 11081, 11029"
11247,"11070, 11278, 20020, 20005, 20189"
11248,"11029, 11013, 29807"
11249,"11060, 11419, 11304, 15097, 11107, 10725"
11250,"19826, 11886, 11065, 11215, 11090"
11251,"11070, 11107, 20023, 20001, 20674, 10781, 20428, 11340, 20012, 20005"
11252,"11015, 19825, 11070, 20021, 11559, 10644, 20005"
11253,"18665, 19832, 11222, 11066, 19906, 11180"
11254,"20020, 11049, 20674, 20012, 20005, 20363, 20189, 11559, 11184, 20208"
11255,"11070, 11301, 20005"
11256,"11081, 11331, 11696, 11247, 11252, 11417, 11317"
11257,"11081, 11060, 11072, 11352, 20020, 20647, 20587, 20327, 20373, 20028, 20005, 20012"
11258,"22734, 11048, 11070, 20363, 20022, 20005"
11259,"10643, 11029, 11028, 11257, 11081, 11263, 11306, 11231, 11090, 11569, 13063"
11260,"11163, 10616, 11168, 11154, 11845, 11834, 11417, 11169, 18532"
11261,"11718, 11081, 11070, 20020, 20359, 11169, 20580, 20295, 20192"
11262,"21445, 11013, 10637, 11255, 11230, 20024, 11070, 11060, 28473, 11282"
11263,"11029, 11013, 11015, 11555, 11071, 11060, 11350, 11070, 11065, 11106, 11062, 11201, 11894, 11191, 20321, 11340, 20187, 11277, 20535, 20021, 10945, 10802, 20561, 20377, 20514, 11301, 20001, 20519, 20295, 20303, 20469, 20468, 20012, 20005"
11264,"11029, 11015, 19212, 11279, 11070, 10739, 11381, 11567, 13132, 11369, 20532"
11265,"10672, 11273, 11019"
11266,"11062, 11313, 18661, 14099, 11310"
11267,"11269, 11289, 11019, 11299, 11080, 11590, 10719"
11268,"11080, 14302, 10725, 11305"
11269,"11279, 20020, 11272, 20021, 20022, 20115, 20297, 20469, 20532, 20236, 11585, 11060, 11607, 11599"
11270,"11599, 11279, 20561, 11071, 20021, 20115, 19055, 11298, 20469"
11271,"11019, 11081, 11568, 11015, 10708"
11272,"11060, 11015, 20298, 20384, 20025, 20029, 20034, 20032, 20267, 20033, 20031, 20624, 11411, 11071, 20348, 20219, 20285, 30137, 20663, 20294"
11273,"20025, 20031, 20472, 20208, 20348, 20296, 20386, 20656"
11274,"20020, 20025, 20276, 20031, 20229, 20244, 20280"
11275,"20020, 20012, 20021, 20304, 20208, 20212, 24004, 20318, 20229, 20276, 20273, 20280, 25051"
11276,"20021, 20258, 20304, 20284, 20259"
11277,"20021, 20022, 20031, 20468, 20304, 20469, 20212, 20276, 20280, 20241"
11278,"20187, 20020, 20025, 20347, 20258, 20031, 20278, 20276, 20304, 20472"
11279,"20021, 11062, 20022, 20012, 20005, 20020, 20001, 11107, 20299, 20031, 20320, 11272, 20160, 20472, 20244, 20280, 20273"
11280,"14256, 11388, 11432, 11035, 10799, 11317, 11585"
11281,"11015, 11080, 11277, 11275, 11019, 19857, 11075, 11311, 11071, 10690, 20020"
11282,"20021, 20022, 20012, 20020, 20208, 11073, 20423, 20259, 20212, 21527, 20317, 20276, 20304"
11283,"11019, 11298, 24050, 11585"
11284,"11019, 11585, 19901, 11015"
11285,"11590, 28580, 11075"
11286,"20208, 20212, 20532, 20533, 20021, 20022, 20423, 20012, 20020, 20025, 20246, 20299, 20115, 20304, 24207, 20431, 20256, 20259, 20318, 20557, 20472, 20280"
11287,"22702, 11016, 11019, 11289, 10715, 11071, 11282, 11015, 11060, 11298"
11288,"20020, 20187, 20022, 20431, 20423, 20212, 20208, 20304"
11289,"20288, 20020, 20012, 20005, 20320, 20021, 20208, 20025, 20258, 20150, 20028, 20317, 20546, 20329, 20347, 20276, 20286, 20468, 20031, 20472, 20305, 20201, 20280, 20241"
11290,"11289, 11282, 11298, 11075, 24191, 20020, 20021"
11291,"11029, 11028, 11019, 19854, 11263, 11067, 11015, 10783"
11292,"20020, 20297, 11303, 20021, 20022, 14204, 24490, 20237"
11293,"10728, 11703, 11080, 11015, 11282, 11656"
11294,"21686, 14027, 11282, 11035, 10664, 11019, 11075, 11314, 11286, 11419, 11071, 18132, 11368, 11575"
11295,"20187, 20020, 20299, 20258, 20543, 20022, 24147, 20021, 20449, 20468, 20469, 24417, 20208"
11296,"11289, 11071, 10690, 20020, 20205, 20533, 20297, 20021, 20022, 20230, 20550, 20251"
11297,"11269, 11019, 24229, 11279, 11419, 10685, 14164, 11080, 20716, 11304, 10668, 11282, 20213, 10725"
11298,"20020, 20012, 20025, 20031, 20468, 20347, 20278, 20201, 20288, 20229, 20532, 20208, 20411, 20431, 20276, 20396, 20304, 20425, 20291, 20286, 30151, 24156, 20280, 20241, 24473"
11299,"20020, 20208, 20550, 20227, 20715, 20212"
11300,"11399, 11015, 11272, 11307, 20551, 20020, 19857, 20205, 20022"
11301,"20020, 20031, 20033, 20226, 20547, 20443, 20650, 20221, 20212, 20246, 20262, 20286, 20032, 20298, 20260, 20241, 20231"
11302,"11368, 10877, 11019, 11028, 11414, 10772, 11080, 25331, 17551, 11500, 10692, 11081"
11303,"24353, 20031, 20025, 20032, 20288, 20711, 20305, 20286, 20226, 20532, 20262, 25197, 20291, 20318, 20472, 23033"
11304,"20025, 20032, 20031, 20304, 20033, 20233, 20208, 23006, 20214, 20226, 20250, 20264, 20547, 20296, 20285"
11305,"11318, 11281, 11319, 10721, 11016, 11300, 11427, 11317, 11269, 14249, 11286, 11288"
11306,"10670, 28560, 11269, 20222, 24032, 10770, 14135, 18726, 11301, 11444, 10719, 20569, 11019, 15122, 24112, 10682, 18260, 20020, 20469"
11307,"11311, 20033, 20032, 20264, 20244, 20031, 20218, 30106, 20040, 20570, 20296, 20283, 30175, 34120, 30144, 30140, 30116, 30189, 20656"
11308,"11019, 11080, 11279, 11028, 11418, 11579, 11317"
11309,"11317, 11304, 20020, 20187, 20552, 20021, 20022, 20718, 20297, 20243, 20469"
11310,"11019, 11279, 10664, 20536, 11080, 11073"
11311,"10704, 11073, 20020, 20320, 20021, 20022, 20012, 20005, 20317, 20102, 20187, 11070, 20208, 20028, 20226, 20468, 20248, 20304, 20276, 20031, 20288, 20025, 20246, 20331, 20347, 20200, 20354, 20408, 20318, 20326, 20229, 20334, 20277, 20280, 20291, 20298, 20472, 20202, 20241, 30151"
11312,"20012, 20359, 10846, 20215, 20256, 20468, 20469"
11313,"11019, 11038, 11317, 11289, 11080, 11275, 11454, 10709, 14399, 11711, 19850"
11314,"11035, 11449, 20012, 20020, 20299, 20468, 20258, 20246, 20431, 20304, 20208, 20212"
11315,"20021, 20022, 20252, 20297, 20208"
11316,"10726, 11289, 11432, 11019, 11023, 10947, 10763, 10654, 18569, 11574, 11575"
11317,"11073, 20020, 20258, 11304, 20297, 20021, 20022, 24032, 20208"
11318,"11289, 11286, 11019, 11282, 11301, 11303, 14313"
11319,"20020, 20115, 20258, 20022, 20532, 20533, 20205, 20234, 20208"
11320,"11281, 11035, 11019, 11071"
11321,"20020, 20012, 20359, 20469"
11322,"11326, 11069, 11335, 11393, 11075"
11323,"20020, 20012, 20587, 20647, 20321, 20469, 20005"
11324,"20020, 20012, 20587, 20327, 20240, 20311, 20320, 20359, 20321, 20469, 11352"
11325,"20012, 20005, 20317, 20354, 20367, 20102, 20025, 20318"
11326,"20020, 20012, 20005, 20587, 20320, 20321, 20288, 20469, 15581, 20356, 20028"
11327,"11060, 11335, 20012, 20005, 20604, 20587"
11328,"11060, 20359, 20020, 20012, 20724, 20342"
11329,"11049, 11352, 20020, 20012, 11441, 20359, 20580, 11626"
11330,"11322, 11378, 18106, 11324"
11331,"11060, 11352, 15097, 11340, 20012, 20020, 20724, 11070, 20373, 20359, 11395, 11263, 11029"
11332,"11337, 11049, 11356, 11381, 11019, 11060, 11067"
11333,"20321, 20458, 20469, 20032, 20356"
11334,"11368, 10766, 11052, 10973, 11067, 10708, 19120, 15097"
11335,"21338, 21797, 11272, 20020, 20012, 20321, 20647, 20587, 20358, 20359, 11067, 11072, 11060"
11336,"11418, 11049, 20358, 20012, 20359, 20726, 20592"
11337,"11051, 11358, 11656, 15436, 11372, 11052, 11335, 11418, 11352"
11338,"20366, 20012, 20020, 20025, 20347, 20031, 20032, 20318, 20348"
11339,"20012, 20005, 11060, 10770, 20320, 20359, 20321, 20311, 11340, 20020, 20724, 20327, 20587, 20469"
11340,"20001, 20359, 20677, 10909, 20445"
11341,"11049, 11418, 11069, 11060, 11067, 11257, 11350, 11356, 11331, 10756, 11372, 11369"
11342,"21695, 11069, 11081, 11381, 11019, 11049, 11060, 11371, 15097, 11640, 10802, 11067, 15562"
11343,"11049, 11681, 11663, 11060, 11067, 18838"
11344,"11060, 11067, 11718, 11371, 11069, 11335, 11381, 11374, 10766"
11345,"11019, 11352, 20020, 20724, 20342, 11340, 11338, 10821, 20359, 20469"
11346,"18131, 11356, 10799, 11019, 10793, 11335, 11350, 11331, 11069, 11068"
11347,"11381, 19873, 11068, 11350, 19886, 11331, 10844"
11348,"11636, 11418, 11395, 10846, 11060, 20020, 20358"
11349,"11060, 11067, 10766, 11372, 20349, 11658, 18897, 10616, 10845, 11429, 11364, 11384, 10973, 20612"
11350,"20016, 20012, 11060, 20020, 11016, 20593, 11431, 11340, 11418, 21225, 25351, 11207, 20616, 11067, 20359, 20021"
11351,"11324, 11051, 10739, 11331, 11056, 11328, 11049"
11352,"11049, 11080, 20187, 20405, 20012, 20020, 20724, 20256, 20468, 20317, 20005, 20102, 20431, 20423, 20345, 11441, 20356, 20469, 20408, 20416"
11353,"11060, 11067, 11335, 11327, 15097, 11331, 11358, 10793, 11381, 11371, 11072, 10973, 20016, 10756"
11354,"11353, 10824, 11049, 11015"
11355,"11418, 11060, 20311, 20012, 20327, 20469, 20025, 20032"
11356,"11049, 11418, 11335, 11060, 20604, 20358, 11067, 10792, 20407, 11336, 11626, 20020"
11357,"19454, 11638, 11049, 11051"
11358,"11060, 11067, 11029, 20020, 20012, 20005, 11073, 20021, 20022, 20320, 11410, 20587, 20469, 25067, 20373"
11359,"11051, 11374, 11344, 11049, 11050, 28678, 11068, 19873, 11367, 11393, 11347, 11358"
11360,"11378, 11028, 11051, 10750, 11405"
11361,"20727, 20005, 20012, 20595"
11362,"11060, 11067"
11363,"11648, 20360, 10770, 10754, 11368, 11049, 24397"
11364,"11418, 11107, 20020, 20012, 20587, 20469, 20366, 20005"
11365,"20647, 20012, 20005, 20025, 20201, 20356"
11366,"20016, 11076, 10844, 11072, 11379, 20349"
11367,"11107, 10742, 10945, 20012, 20005"
11368,"21180, 11044, 11060, 11289, 20320, 20359, 20012, 20020, 11340, 11418, 20321, 20468, 20469, 11301, 20445, 20588, 20322, 20028, 20311, 20021, 11338, 20587, 11051, 20341, 10714, 27362, 20346, 20005"
11369,"20020, 20359, 11067, 11340, 20160, 25321"
11370,"15840, 11051, 11049, 11035, 10730, 11347, 11052"
11371,"20020, 20012, 20320, 20311, 25246, 20358, 20359, 20187, 20587, 20373, 20469, 20327, 20005"
11372,"11049, 11352, 11062, 11060, 11340, 20580, 10743, 20020, 20359, 20598, 25154, 10891"
11373,"11052, 10927, 11059, 11267, 11016"
11374,"20020, 20012, 20359, 20724, 20407, 28130, 10767, 10776, 10813, 12527, 25217, 20603, 10809, 11001, 25067"
11375,"11060, 11067, 20012, 20020, 20724, 20647, 20342, 20359, 20587"
11376,"11069, 11629, 11049, 11348, 11656, 11640, 20605, 11350, 11358"
11377,"11060, 20724, 15112, 10891, 20020"
11378,"11051, 11069, 11060, 11344, 11067"
11379,"11060, 20349, 20356, 20256, 20012, 20005, 20587"
11380,"11061, 20020, 20012, 20359, 20587"
11381,"11049, 11060, 11067, 11340, 20359, 11647, 20407, 20024, 20724, 15097, 20727, 20012, 20020, 11441, 10776"
11382,"11050, 10760, 11049, 11368, 11339, 10835, 11322, 11052, 11381, 11068, 11387, 15097"
11383,"20020, 20012, 25246, 20358, 20580, 20342, 11626, 11643, 10891, 20728"
11384,"20582, 25094, 18897, 20020, 20724, 20726, 20327, 20587, 20012, 20005"
11385,"11067, 11338, 20020, 20012, 25053, 20469, 20587"
11386,"11060, 20020, 20012, 20359, 20358, 20342, 11626, 20407, 20728, 12093, 10763, 11621, 14263, 20645"
11387,"20358, 20012, 20025, 20354, 20333, 20313, 20201, 25325, 25191, 20005, 28413"
11388,11321
11389,"11068, 11352, 11060, 20587, 20016, 10778, 10846, 10776, 11335, 20020, 20320, 25246, 20359, 20605, 20012, 20005"
11390,NA
11391,"11418, 10743, 15097, 11335, 11348, 11356, 11052, 11068, 11381, 14313, 11399"
11392,"11060, 11067, 11365, 20016, 11718, 11068, 11381, 11072, 15097, 11623, 15060, 11371, 11358"
11393,31986
11394,"11647, 11049, 11060, 11067, 11358, 11418, 15097"
11395,"20469, 20468, 20746, 20368, 20313, 20423, 20341, 20012, 20005, 20356, 28413"
11396,"11060, 11358, 11072, 20359, 20020, 20012"
11397,"11401, 11342, 11060, 10829, 11358, 10748, 15067, 10740"
11398,"11060, 11718, 15171, 20016, 11624, 11387"
11399,"20020, 20311, 20405, 20320, 20012, 20005, 20469, 20341, 20028"
11400,"11051, 11662, 11005"
11401,"11352, 10792, 11272, 11072, 20359, 11307, 20012, 20020"
11402,"11368, 11052, 10793, 11394, 10910, 10812, 10731, 11649, 11339, 11068"
11403,"20311, 20320, 20012, 20020, 20327, 20469, 20005"
11404,"11015, 11060, 20020, 20012, 20299, 20208, 20468, 20347, 20025, 20031, 20356, 20318, 30213"
11405,"11322, 15067, 11051, 11069, 22985"
11406,"18002, 11678, 11051, 11622, 10777, 10783, 10788, 28446, 11404, 11317, 11641, 10707"
11407,"20374, 26010, 20375, 20377, 20624, 20023, 20629, 25345"
11408,"20375, 20629, 25345, 20023, 26010, 20374, 20624, 20378"
11409,"11107, 20377, 20375, 25345, 20023, 26010, 20438, 28148"
11410,"11411, 11407, 10872, 11409"
11411,"11289, 11107, 11340, 20377, 11875, 20623, 26010, 20375, 20624, 20023"
11412,"20399, 20395, 11671"
11413,"20024, 20179, 20731, 20733"
11414,"17523, 26010, 20024, 20638, 20675, 20637, 27031, 11411, 28259, 27485"
11415,"20731, 20395, 27041, 18829, 27530, 20710, 20675"
11416,"11163, 10535, 11014"
11417,"11070, 20012, 11586, 20405, 11107, 20115, 20379, 20204, 20005"
11418,"20020, 20012, 20005, 20320, 20025, 20468, 20031, 20472, 20340"
11419,"11060, 11015, 11585, 20020, 10809, 11626, 20469, 20468, 20423"
11420,"11013, 11063, 11011, 10535, 11533, 11905"
11421,"11353, 11328, 10511, 2706, 11206, 11317, 10567, 11326"
11422,"19900, 11213, 20415, 11684, 18477, 11413, 17052"
11423,"11642, 11060, 11067, 11069, 11335, 11350, 11331, 15097, 11356, 11068"
11424,"11282, 11585, 11035, 10728, 11039, 19844, 11269, 11281, 11019, 11444"
11425,"20020, 20012, 20321, 20311, 20580, 20469"
11426,"11013, 12128"
11427,"11184, 11411, 20203, 11107, 28303, 14385, 11014, 11230, 20500"
11428,"11062, 11173, 10616, 11201, 20012, 20005, 20001, 11184, 11894, 20363, 20252, 20513"
11429,"11418, 11289, 20020, 20012, 11301, 20468, 20552, 11340, 20584"
11430,"20020, 11067, 20320, 25246, 25053, 20005, 20327, 20587"
11431,"20647, 20593, 20020, 20012, 20005, 20468, 20366, 20025, 20333, 20326"
11432,"10747, 14052, 28094, 11278, 20648, 20424, 18434, 11286, 11344, 10785, 28306, 18681, 11600, 11606, 11019, 11303, 20358, 11389, 10719, 14411"
11433,"28521, 11081, 11015, 11107, 20115, 11586, 11070, 20299, 25345, 20189, 20022, 10636, 24459, 20012, 20005"
11434,"19948, 11062"
11435,11013
11436,"20021, 20022, 20551, 20020, 14262, 14352, 20468, 20566, 24420, 28413"
11437,"10972, 18843, 11049, 11081, 11035, 19813"
11438,NA
11439,"20025, 20256, 20304, 20321, 20352"
11440,"11015, 11272, 11298, 18819, 11307, 11273, 14090, 16056, 11582, 19234, 20429"
11441,"18418, 20396, 20425, 20468, 20472, 20712, 24118, 28082, 28125, 30213"
11442,"10898, 11049, 11197, 11013, 11081, 19948, 20564, 20024, 11070, 11060, 12175, 11104, 10785, 15033, 24071, 20580, 11387, 11390, 11654"
11443,"11445, 25510, 21725"
11444,"11275, 11272, 20584, 20468, 20458, 20469"
11445,"11013, 20001, 20155, 20173, 28519, 20167"
11446,20021
11447,"11102, 28405, 20115"
11448,"11070, 11417"
11449,"11015, 11062, 20024, 11278, 20115, 11311, 20295, 20297, 20412, 20205, 20220, 11277, 20240, 10704, 20449, 20718"
11450,"11154, 20031, 20159, 11034, 24490, 20224, 20553, 20202, 20241"
11451,11160
11452,NA
11453,"22905, 22951, 29598, 11282, 11419, 11342, 24292, 11047, 11019, 11597, 11319, 24516, 10719, 14087, 10664"
11454,"11067, 20012, 20020, 25246, 20021, 20022, 18418, 20737, 20584, 20468"
11455,"10959, 11219, 10633, 11239, 11104, 11013, 10511, 11005"
11456,"11047, 11019, 11319, 11015, 11080, 11575, 28702"
11457,"4097, 17067, 17096, 11342, 11163, 11044, 10920, 11670, 19235, 18679, 17041, 11890, 13144, 19201, 11066, 10806, 11667"
11500,NA
11501,"10567, 11047, 11005, 18293, 18292, 28653, 11013, 22187"
11502,11013
11503,"11414, 11062, 11013, 12303"
11504,"11062, 20031, 20022, 20160, 20159"
11505,"448, 11090, 11045, 5262"
11506,11179
11507,NA
11508,20001
11509,"20309, 20422, 20198, 11323, 20020"
11510,"11243, 20234, 11015, 11070, 11107"
11511,"11013, 11163"
11512,"11063, 11296"
11513,24389
11514,"11536, 11518"
11515,"11107, 22010, 11220, 20012, 20005"
11516,NA
11517,"20102, 28114, 20650, 20264, 20032, 20355, 20366, 20188, 20307, 20312, 20348, 20357, 20296"
11518,"11062, 20001, 11234, 11235, 12310, 20005"
11519,"11013, 18893"
11520,"11043, 11834"
11521,"19235, 11173, 10616, 11449, 11845, 22018, 11154"
11522,"11107, 20160, 23063, 11169, 22010, 20027"
11523,"11013, 11201, 22171, 20177, 18681, 10623"
11524,"20020, 25246, 20311, 20012, 20550, 20587, 10821, 20469"
11525,"11569, 20169, 12131, 22010"
11526,"11065, 11107, 20005"
11527,"20024, 11449, 10704, 18068"
11528,"4145, 11004"
11529,"11070, 11107, 23050, 11234, 13018"
11530,"20163, 20020, 20001, 20012, 20005, 20025, 20304, 20733, 20732, 20029, 20328, 25262, 20241"
11531,"16764, 11251, 11013, 20519"
11532,"11197, 10740, 12305"
11533,"20160, 20031, 20032, 20167, 20416, 20443, 20120, 20262, 20164"
11534,"20012, 20405, 20256, 25115, 20587, 20320, 20317"
11535,"20001, 20165, 20706, 20155, 20005"
11536,"11107, 20001, 11230, 20005"
11537,"11184, 11411, 28603, 11169, 11107, 20394, 11230, 20001, 20155, 20167"
11538,11013
11539,"11070, 20001, 20509, 20155, 20507, 20317, 20159, 20031"
11540,"11062, 11070, 20020, 20001, 20023, 28499, 20155, 20271, 22183, 20012, 20005, 20005"
11541,"11234, 20160, 20025, 20159, 20032, 20416"
11542,"11062, 11173, 11172, 11105, 10616, 11428, 10929"
11543,"11013, 11154"
11544,"20163, 22147"
11545,"11065, 11013, 11015, 11107"
11546,"11411, 16116, 19814, 20023"
11547,"11013, 11048, 11176, 11500, 11213, 11236, 13389"
11548,"20012, 20001, 20025, 20157"
11549,"11048, 11062, 11234, 11220, 11154, 11169, 28015, 20020"
11550,"11107, 20001"
11551,NA
11552,"11015, 11608, 10690, 11272, 21585, 13003"
11553,NA
11554,NA
11555,"11106, 20288, 20032, 20033, 20121, 20347, 20277, 20202, 20241"
11556,11560
11557,"19897, 20189, 11381, 10672, 11070, 15060, 11327, 11279, 20500"
11558,"20012, 20031, 20032, 20288, 20025, 20650, 20331, 20524, 20241, 20348"
11559,"11063, 20025, 20005, 20229, 20365, 20290, 20348"
11560,"20317, 20201, 20032, 20333, 28264, 20330, 20356, 20352, 20191, 20348"
11561,11090
11562,"11307, 20012, 20645, 20226, 20031, 20204, 20159, 20224, 20212, 23027"
11563,"11070, 20115, 11311, 20189, 13031, 20005"
11564,"20452, 20032, 20547, 20373, 20330, 20340, 20241"
11565,"28527, 20320, 11070, 20299, 20321, 20394, 23064, 20192, 20271, 20012, 20005"
11566,"11070, 20674, 11559, 20005"
11567,"11449, 11073, 11015, 11272, 24397, 11070, 20022"
11568,"11048, 11070, 20655, 20020, 11878"
11569,"22114, 11065, 11070"
11570,"11281, 10735, 10721, 11352, 11284, 11296"
11571,"11045, 11853, 11544, 11828, 11013"
11572,"11013, 10644, 10654, 11081"
11573,NA
11574,"11289, 20021, 20022, 20020, 25316"
11575,"20020, 20021, 20022, 20208, 20288, 28413"
11576,"20012, 20005, 14346, 20031"
11577,"11081, 11019, 18863"
11578,"11432, 11019, 11269, 10692, 14303"
11579,"20020, 20012, 11273, 19857, 24432, 11311"
11580,"20021, 20022, 20020, 20187, 20115, 20258, 20469, 20208"
11581,"20187, 20304, 11073, 18897"
11582,"20025, 20031, 20553, 20719, 24167"
11583,"20033, 20031, 20025, 20032, 20250, 20118, 20221, 24034, 20226, 20547, 20285, 20348"
11584,"11039, 20020, 18132"
11585,"20020, 20012, 20568, 11070, 20021, 20022, 20299, 20258, 20246, 20031, 20304, 20472"
11586,"11073, 11107, 24357, 24082, 20565, 20304, 20208"
11587,"11272, 20022, 011, 20293"
11588,NA
11589,"11047, 11309, 11719, 10922, 11019, 10719"
11590,NA
11591,"20547, 20296, 20218, 20679, 20260"
11592,"11015, 11071, 11279"
11593,"20022, 20304, 20212, 20208, 20276"
11594,"20022, 24075"
11595,"20021, 20022, 20543, 20258, 20244"
11596,"24260, 20575, 11289, 11075, 20258, 20021, 20022, 20293"
11597,"11282, 11289, 11286, 11019, 19843, 18132"
11598,"11269, 11019, 10664"
11599,"20280, 20250, 20233, 30457, 20285, 30175"
11600,"20020, 20031, 20032, 20226, 20025, 20276, 20291, 20318, 20273, 20280"
11601,"24008, 11282, 20020, 24229, 11586, 20021"
11602,"11019, 14188, 10664, 10683"
11603,"11449, 11019, 11314, 11289, 11071"
11604,"11667, 11019, 10993, 19154"
11605,"11272, 11073, 20020, 20258, 20532, 24324, 11311, 20295, 20021, 20022, 20543, 20208"
11606,"20020, 20031, 20022, 20286, 20291"
11607,"20025, 20032, 20355, 20364, 20233, 20390, 28153, 20351, 20191, 20348"
11608,"20020, 20022, 20258"
11609,"11313, 11016, 11035, 10721"
11610,"11073, 20022, 20258, 20205, 25067, 10690, 20243, 20212"
11611,"11282, 11298, 14352, 20020, 11298, 11582"
11612,"11019, 11289, 20638, 20395, 11286, 20021, 20022, 20288"
11613,"20012, 20347, 20032, 20031, 20333, 20318, 30213, 20348"
11614,"20289, 24453, 11273, 11279, 20237"
11615,"30399, 30161, 30139"
11616,"20295, 24415, 20277"
11617,"11019, 11317, 11301, 11060, 11286, 20562, 11071, 19837"
11618,"11015, 10672, 10719, 24083, 11075"
11619,"11441, 20359, 20728"
11620,"11324, 11371, 11049, 11051"
11621,"20350, 20256, 20012, 20005"
11622,"10783, 10616, 11072"
11623,"11069, 11350, 10799, 24500"
11624,"20012, 20025, 20317, 20256, 20354, 20373, 20356"
11625,"11051, 11060, 11067, 11371, 10821, 11331"
11626,"11289, 21562, 20028, 20469, 20005, 20356"
11627,NA
11628,"11060, 20311, 20585"
11629,"20012, 20025, 20201, 20331, 25244, 20452, 20031, 20032, 20472, 20348"
11630,"20016, 20012, 11282, 11338, 10957, 11331, 11350, 11368"
11631,"20373, 20025, 20372, 20333"
11632,NA
11633,11381
11634,"11371, 11324, 15238"
11635,11015
11636,"20020, 11643, 10846, 20347, 20012, 20587"
11637,"11060, 11049, 18897, 10957, 11718, 20020, 20012, 20021"
11638,"20012, 20020, 20580, 25246"
11639,NA
11640,"20020, 20311, 20012, 20587, 20359, 25246, 20469"
11641,"11060, 11289, 20012, 20005, 20028, 20468"
11642,"20577, 11001, 20005, 20372, 20118, 20032, 20330, 20025, 20411, 20348, 20191, 20241"
11643,"20366, 20214, 20650, 20033, 20443, 20291, 20410, 20468, 20245, 20282, 20556, 20241, 20296"
11644,"11353, 11049, 10812, 11388, 11018"
11645,"20320, 20012, 30212, 20330, 20031, 20032, 20416, 20005, 20340, 20348"
11646,"11052, 11049, 11060, 11371, 11336, 11356, 11395, 11718"
11647,"20256, 20321, 11613, 20317, 20028, 20329, 20356, 20201, 28603, 20366"
11648,"20360, 20342"
11649,"11060, 11001, 11387, 20724, 20605, 20020, 20012, 15653"
11650,"20311, 25246, 11626, 20587"
11651,"11628, 25357, 20020, 20012"
11652,"20311, 25062, 20587, 12327, 20012, 20005"
11653,"25041, 20020, 11718, 20322, 20469, 20256"
11654,"20032, 20318, 20348"
11655,"20020, 20012, 20359, 25221, 20587, 28688"
11656,"20727, 11060, 20580, 11067, 10957, 11605, 11191, 20020, 25322, 20728, 15397, 20726, 15097"
11657,"20020, 20012, 15407, 20359, 20358, 20587, 20469"
11658,"20012, 20320, 20321, 20643, 25229"
11659,NA
11660,"11049, 11637, 11356, 18171, 11381"
11661,"20359, 20311, 20580, 20469, 20587, 20005, 20346"
11662,"11326, 11049, 11060, 15429, 20359"
11663,"10846, 20358, 20311, 20724, 20020"
11664,"11049, 11352, 11052, 11019, 11350, 11356, 11371, 11060, 11331"
11665,"11429, 11069, 20600, 20359, 20724, 11001, 20601, 11060, 20646"
11666,NA
11667,"20001, 20023, 20025, 11107, 20456, 20738"
11668,"11049, 11044, 15573, 11050, 11296, 18767"
11669,"10968, 11413, 11414"
11670,"11414, 20638, 20639, 20024"
11671,"20398, 20733, 20402, 20744, 20644, 27503, 27517, 27519, 27542"
11672,"20024, 11684, 19931, 11692, 12279, 10616, 20459"
11673,"11069, 11375, 11306, 11619"
11674,"20024, 20638, 20398, 20733, 20402, 20732"
11675,"20020, 20327, 25029"
11676,"20736, 20446, 10957, 20456, 20463"
11677,"11245, 11247, 11081, 20169, 20001"
11678,NA
11679,"20160, 20167, 20159, 20031, 20202"
11680,11309
11681,"11418, 20016, 11060"
11682,NA
11683,NA
11684,"20415, 20733, 20736, 20644, 20347, 20365, 20031, 20472, 20404, 20442, 20447, 20448, 30330, 20386, 25665, 25695"
11685,"20311, 20012, 20005, 20020, 10778, 20587, 20469"
11686,"11062, 11449, 11107, 10619, 11374, 20500"
